"id","paginafb"
3561546,"https://www.facebook.com/SinbadsRestaurant/"
3561547,"https://www.facebook.com/amysdonutscs/?locale2=de_DE"
3561548,"https://www.facebook.com/gentilebros/"
3561550,"https://www.facebook.com/TrueFoodKitchenScottsdale/"
3561551,"https://www.facebook.com/ChopHouseGR/"
3561552,"https://d.facebook.com/postinoarcadia/?__tn__=%2As-R"
3561553,"https://www.facebook.com/eatatgilberts/"
3561555,"https://www.facebook.com/TheChefAndI/"
3561556,"https://www.facebook.com/CruCafeChas/"
3561557,"https://www.facebook.com/wildsealasolas/"
3561559,"https://www.facebook.com/roadhousecafefl/"
3561561,"https://facebook.com/pages/category/Middle-Eastern-Restaurant/Green-Corner-RestaurantMesa-1555114571190680/"
3561562,"https://facebook.com/panevinoontheriverrochesterny/"
3561564,"https://www.facebook.com/TAPAteria/?_ft_=top_level_post_id.2089717104390718%3Atl_objid.2089717104390718%3Athrowback_story_fbid.2089717104390718%3Apage_id.159464304082684%3Apage_insights.%7B%22159464304082684%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A159464304082684%2C%22post_context%22%3A%7B%22story_fbid%22%3A2089717104390718%2C%22publish_time%22%3A1516727564%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A159464304082684%2C%22psn%22%3A%22EntSta"
3561565,"https://www.facebook.com/dandelioncommunitea/"
3561566,"https://www.facebook.com/pheatery/"
3561568,"https://facebook.com/phxpublicmarketcafe/events"
3561570,"https://de-de.facebook.com/LodgeTorreyPines/"
3561572,"https://www.facebook.com/rokaakorscottsdale/"
3561574,"https://www.facebook.com/pelivintage/"
3561575,"https://www.facebook.com/circa1886restaurant/"
3561577,"https://www.facebook.com/Surfsidewest/"
3561578,"https://www.facebook.com/gnarlybarley407/"
3561579,"https://facebook.com/rabbitholedinneranddrinks/"
3561580,"https://facebook.com/calabriamarket/"
3561581,"https://facebook.com/BrooksBurgersNaples/"
3561583,"https://www.facebook.com/joeyspizza1/"
3561584,"https://www.facebook.com/chefchai/"
3561585,"https://www.facebook.com/RuthsChrisGrandRapids/"
3561588,"https://www.facebook.com/LaCuisineNaples/"
3561589,"https://www.facebook.com/Jenis12South/"
3561590,"https://www.facebook.com/HotDogTommys/"
3561591,"https://www.facebook.com/WilkesBarreFridays/"
3561592,"https://www.facebook.com/harryscoffeeshop/"
3561593,"https://www.facebook.com/Steak48/"
3561595,"https://www.facebook.com/EddieVScottsdale/"
3561596,"http://www.facebook.com/OBHPHX"
3561597,"https://www.facebook.com/rooneysrestaurant/"
3561599,"https://www.facebook.com/bordergrillfreshmexfl/"
3561600,"https://www.facebook.com/jeniskingstreet/"
3561601,"https://facebook.com/OrchidsAtHalekulani/"
3561602,"https://www.facebook.com/organstoppizza/"
3561604,"https://www.facebook.com/caspiancafe/"
3561605,"https://www.facebook.com/CafeLEuropeSarasota/"
3561607,"https://www.facebook.com/eatatelmers.palmsprings/"
3561609,"https://www.facebook.com/thebreakfastklub/"
3561613,"https://facebook.com/82queen/?locale2=de_DE"
3561615,"https://www.facebook.com/MinasFortMyers/"
3561616,"https://www.facebook.com/pages/category/Deli/Girard-Gourmet-166973817732/"
3561618,"https://www.facebook.com/bistrobellavita/"
3561619,"https://www.facebook.com/ristorantelucano/"
3561620,"https://en-gb.facebook.com/pages/category/American-Restaurant/SpencersSteak/about/"
3561621,"https://facebook.com/pages/category/Seafood-Restaurant/Duvals-Fresh-Local-Seafood-2229795967073799/"
3561622,"https://www.facebook.com/GoldiesNaples/"
3561628,"https://www.facebook.com/Tropical.Tribe.LLC/"
3561629,"https://www.facebook.com/AllPierogi/"
3561630,"https://facebook.com/Tranquilophx/"
3561631,"https://facebook.com/CasaDAngelo/?locale2=de_DE"
3561633,"https://www.facebook.com/thebearcreekcafe/"
3561636,"https://www.facebook.com/kilwinsnaples/"
3561637,"https://www.facebook.com/pages/category/Cafe/Pizzeria-Rustica-259786787331/"
3561640,"https://www.facebook.com/arnoldpalmersrestaurant/"
3561641,"https://facebook.com/shorehousekitchen/?locale2=de_DE"
3561642,"https://www.facebook.com/pages/category/American-Restaurant/BJs-Restaurant-Brewhouse-154759397910344/"
3561643,"https://www.facebook.com/TheOwlHouseNY/"
3561644,"https://www.facebook.com/TerraGR/"
3561645,"https://facebook.com/MagnoliasCharleston/"
3561646,"https://facebook.com/seitosushisandlake/?locale2=de_DE"
3561647,"https://www.facebook.com/lemanhattanbistro/?pageid=528793714294336&ftentidentifier=668574383649601&padding=0"
3561648,"https://www.facebook.com/MiniPitaCafe/"
3561649,"https://www.facebook.com/SnoozeKierland/"
3561650,"https://www.facebook.com/doowopcoffeeshopicecreamparlor/"
3561652,"https://www.facebook.com/DicksHideaway/"
3561653,"https://www.facebook.com/SouthShoreGrillHawaii/"
3561654,"https://www.facebook.com/burgerloungelajolla/about/"
3561656,"https://facebook.com/FogoHouston/"
3561657,"https://www.facebook.com/rodiziogrillnashville/"
3561660,"https://www.facebook.com/jonandpattysoc/"
3561663,"https://facebook.com/AnnasDeli941/"
3561664,"https://www.facebook.com/WatermarkGrille/"
3561665,"https://www.facebook.com/KingsOrlandoInternationalDrive/"
3561666,"https://facebook.com/pages/category/Sushi-Restaurant/Hiro-Sushi-121671667843647/"
3561667,"https://www.facebook.com/JinesRestaurant/"
3561668,"https://www.facebook.com/pages/category/Italian-Restaurant/Alessias-Ristorante-Italiano-131164853629943/"
3561669,"https://www.facebook.com/Spencers.PalmSprings/"
3561670,"https://www.facebook.com/ChimaFortLauderdale/"
3561673,"https://www.facebook.com/ClaytonsSiestaGrilleAndCatering/"
3561674,"https://www.facebook.com/DonkeyGR/"
3561675,"https://facebook.com/DominicksSteakhouse/?locale2=de_DE"
3561678,"https://www.facebook.com/cataniasd/"
3561679,"https://facebook.com/brown.dogdeli.5/"
3561680,"https://www.facebook.com/EddieVsPrimeSeafoodOrlando/"
3561681,"https://www.facebook.com/CaffedellAmoreNaples/"
3561682,"https://facebook.com/pages/category/American-Restaurant/Kenwood-Lane-Grille-107830865920858/"
3561685,"https://facebook.com/eight4ninerestaurant/"
3561686,"https://www.facebook.com/waldosbbqmesa/"
3561687,"https://www.facebook.com/HardyParkBistro/"
3561688,"https://www.facebook.com/shugasbar/"
3561689,"https://www.facebook.com/GoodLuckRochester/"
3561691,"https://www.facebook.com/EjsBayfrontCafe/"
3561693,"https://www.facebook.com/lecafedeparisorlando/"
3561694,"https://facebook.com/connorssteakseafoodfortmyers/"
3561695,"https://www.facebook.com/pages/Millies-Cafe/104977139545809"
3561696,"https://www.facebook.com/SpringersIceCream/"
3561697,"https://www.facebook.com/RichardWalkersLaJolla/"
3561698,"https://www.facebook.com/pages/category/New-American-Restaurant/The-Margarita-at-Pine-Creek-196709154566/"
3561699,"https://facebook.com/DPOVFB/"
3561700,"https://www.facebook.com/greenbarkitchen/"
3561701,"https://www.facebook.com/ThePalmettoCafe/"
3561702,"https://facebook.com/wildflowerseville/"
3561703,"https://www.facebook.com/DixieBellesCafe/"
3561705,"https://www.facebook.com/MarkosDiner/"
3561706,"https://www.facebook.com/EtoileCuisine/"
3561707,"https://www.facebook.com/damonshazleton/"
3561708,"https://facebook.com/Supermalot/"
3561709,"https://www.facebook.com/darfons/"
3561710,"https://www.facebook.com/HopCat/"
3561712,"https://www.facebook.com/pages/category/Southwestern-Restaurant/Mangos-Mexican-Cafe-349341100596/"
3561713,"https://www.facebook.com/unclebosrestaurant/"
3561715,"https://www.facebook.com/KaraiCrab/"
3561716,"https://www.facebook.com/TheGeneseeBrewHouse/"
3561717,"https://www.facebook.com/LaBellaVitaRistoranteItaliano/"
3561718,"https://www.facebook.com/pages/category/Italian-Restaurant/Tutti-Santi-By-Nina-111626542208992/"
3561719,"https://www.facebook.com/grillAburger/"
3561721,"https://touch.facebook.com/ricks.seafood.1/?__tn__=%2AsH-R"
3561722,"https://facebook.com/greekislandstaverna/"
3561723,"https://facebook.com/SlightlyNorthofBroad/"
3561724,"https://facebook.com/MarineRoom/?locale2=de_DE"
3561725,"https://www.facebook.com/pages/Heinrichs-German-Grill/260900584573316"
3561726,"https://www.facebook.com/SierraBonitaGrill/"
3561727,"https://www.facebook.com/anasbraziliankitchen"
3561730,"https://www.facebook.com/gelatoandgrocerydolcevita/"
3561731,"https://facebook.com/VanderbiltBrooksBurgers/"
3561732,"https://www.facebook.com/UniversityGrill/"
3561734,"https://www.facebook.com/artisansrestauranthouston/"
3561736,"https://www.facebook.com/angelstrumpetalehouse/"
3561737,"https://www.facebook.com/hotkrustpaninikitchen/"
3561738,"https://www.facebook.com/thetropicale/"
3561739,"https://www.facebook.com/AnnasHouseEastBeltline/?locale2=de_DE"
3561740,"https://www.facebook.com/MortonsGourmetMarket/"
3561741,"https://facebook.com/Delmonicosrochester/"
3561742,"https://www.facebook.com/osteriaromanticalajolla/"
3561743,"https://pl-pl.facebook.com/PeacePieWorld/"
3561746,"https://www.facebook.com/thewildcow/?locale2=de_DE"
3561747,"https://www.facebook.com/pages/category/Mediterranean-Restaurant/Leyla-Fine-Lebanese-Cuisine-422768267834273/"
3561748,"https://www.facebook.com/AmenStreet/?locale2=en_GB"
3561749,"https://www.facebook.com/ThoroughbredClub/"
3561750,"https://facebook.com/TBWaikiki/"
3561751,"https://www.facebook.com/Kingschefdinerdowntownbijou/"
3561753,"https://www.facebook.com/republicaempanada/"
3561755,"http://www.facebook.com/ElReyAztecaRestaurant/"
3561757,"https://www.facebook.com/vegasdinerandrestaurant/"
3561758,"https://www.facebook.com/ShermansDeli/"
3561759,"https://www.facebook.com/NorthItaliaPhoenix/"
3561760,"https://www.facebook.com/ParkAvenuePubRestaurant/?locale2=en_GB"
3561761,"https://www.facebook.com/WhisknladleRestaurant/"
3561762,"https://www.facebook.com/DowntownHouseofPizza/"
3561763,"https://facebook.com/thefoxybrown/"
3561764,"https://www.facebook.com/eatatfig/"
3561766,"https://www.facebook.com/HattieBsMidtownNashville/"
3561767,"https://www.facebook.com/ShulasSteakhouseWaltDisneyWorld/"
3561768,"https://www.facebook.com/Sundancegrillandbar/"
3561770,"https://www.facebook.com/Paravicinis/"
3561771,"https://www.facebook.com/takedathai/"
3561773,"https://www.facebook.com/CaracolHouston/"
3561774,"https://www.facebook.com/mittenbrewingco/"
3561777,"https://facebook.com/pages/Roys-Hawaii-Kai/317415911668549"
